cca3,name,funFact
MCO,Monaco,Only non-residents are allowed in its gambling establishments
MNG,Mongolia,Home of the only remaining species of wild horse
MAR,Morocco,The birthplace of singer Faouzia
MMR,Myanmar,Alternatively known as Burma
NRU,Nauru,The term for a person from this country (its demonym) is a palindrome (reads the same forwards and backwards)
NPL,Nepal,Has the only national flag with a non-rectangular shape and the only one taller than it is wide
NLD,Netherlands,"Home of the Eurobridges Spijkenisse, an applied arts project of real bridges built to resemble the fictional bridges depicted on the euro banknotes"
NZL,New Zealand,First nation in the world to grant all women the right to vote
NZL,New Zealand,Where instant coffee was invented
NZL,New Zealand,"Home of Frying Pan Lake, the world's largest hot spring"
MKD,North Macedonia,Home of the birthplace of Catholic saint Mother Teresa
NOR,Norway,Pioneered parasite-free salmon farming in the 1970s and brought salmon sushi to the world
PAK,Pakistan,Produces the most soccer balls of any country
PLW,Palau,"Follows a strict matrilineal system, where family lines are passed from the mother"
PLW,Palau,"Home of Jellyfish Lake, where jellyfish evolved in isolation from predators, leaving them with stingers too weak to harm humans"
PSE,Palestine,"Home of the city of Bethlehem, where different denominations gather to celebrate Christmas on three different dates each year"
PAN,Panama,The largest independent country to have no standing army
PNG,Papua New Guinea,Some of its people use a currency made from snail shells
PRY,Paraguay,Has the only national flag with different front and back designs
PER,Peru,Produces the most quinoa of any country
PER,Peru,"Home of over 700 ancient geoglyphs known as the Nazca lines, formed by carving massive drawings into the ground"
PER,Peru,"Home of La Rinconada, the highest permanent settlement in the world, at up to 3.2 mi (5.1km) above sea level"
PHL,Philippines,"Home of Vulcan Point, an island in a lake on an island in a lake on an island"
PHL,Philippines,"Has the highest concentration of nurses of any nationality, many of whom work abroad"
POL,Poland,Where bagels originated
PRT,Portugal,"Produces about half of all cork (used for bottle stoppers, among other things)"
PRT,Portugal,The first country to allow usage and personal possession of all common drugs after decriminalizing them in 2001
QAT,Qatar,"Foreign workers amount to around 88% of its population, resulting in there being over 3 men for every woman"
RUS,Russia,Has over a fifth of all trees
RUS,Russia,"Home of Lake Baikal, the world's deepest and largest freshwater lake by volume"
WSM,Samoa,"To better match surrounding nations, in 2009, it switched from driving on the right side of the road to driving on the left"
WSM,Samoa,"To better match surrounding nations, it switched its time zone from UTC−11 to UTC+13, effectively skipping December 30th, 2011"
SAU,Saudi Arabia,The largest country in the world to have no permanent rivers
SOM,Somalia,Has the most camels of any country
ESP,Spain,Its national anthem has no official lyrics
ESP,Spain,The birthplace of actor Antonio Banderas
SUR,Suriname,Over 90% rainforest
CHE,Switzerland,Where milk chocolate originated
CHE,Switzerland,"Home of the longest stairway in the world, with a total of 11,674 steps climbing up Mount Niesen"
TZA,Tanzania,"Home of the birthplace of Freddie Mercury, frontman of the rock band Queen"
MDV,The Maldives,"The world's lowest-lying country, with an average ground-level elevation of around 1.5m (less than 5 ft) above sea level"
TON,Tonga,"A haven for bats, considered to be sacred and thus cannot be hunted or harmed"
TTO,Trinidad and Tobago,The birthplace of rapper Nicki Minaj
TTO,Trinidad and Tobago,"Where the ""How low can you go?"" limbo game originated"
TUV,Tuvalu,"Earns millions of dollars in revenue each year from its Internet country code top-level domain, "".tv"""
UKR,Ukraine,"The birthplace of actress Mila Kunis"
ARE,United Arab Emirates,"Home of the Burj Khalifa, the tallest building in the world"
GBR,United Kingdom,Its currency is the oldest in the world to be in continuous use since its inception
USA,United States,Has by far the most tornadoes of any country in the world
USA,United States,The only country to have sent people to the moon
USA,United States,Produces the most corn of any country
UZB,Uzbekistan,"Home of gymnast Oksana Chusovitina, who has competed in eight Olympic Games, the most of any gymnast in history"
VUT,Vanuatu,"Its ancient practice of tethered ""land diving"" inspired modern bungee jumping"
VEN,Venezuela,"Home of Angel Falls, the world's tallest uninterrupted waterfall"
VNM,Vietnam,"Home of Hang Sơn Đoòng, the world's largest natural cave"
VNM,Vietnam,Over 30% of its people have the same surname
