cca3,name,worldFactbookCountryKey,location,parentCountryCca3,flagDescription
TCD,Chad,CD,"Central Africa, south of Libya",,
CHL,Chile,CI,"Southern South America, bordering the South Pacific Ocean, between Argentina and Peru",,
CHN,China,CH,"Eastern Asia, bordering the sea, between North Korea and Vietnam",,
CXR,Christmas Island,KT,"Southeastern Asia, island in the Indian Ocean, south of Indonesia",AUS,
CCK,Cocos (Keeling) Islands,CK,"Southeastern Asia, group of islands in the Indian Ocean, southwest of Indonesia, about halfway between Australia and Sri Lanka",AUS,
COL,Colombia,CO,"Northern South America, bordering the Caribbean Sea, between Panama and Venezuela, and bordering the North Pacific Ocean, between Ecuador and Panama",,
COM,Comoros,CN,"Southern Africa, group of islands at the northern mouth of the Mozambique Channel, about two-thirds of the way between northern Madagascar and northern Mozambique",,
COK,Cook Islands,CW,"Oceania, group of islands in the South Pacific Ocean, about halfway between Hawaii and New Zealand, east of Tonga",NZL,
CRI,Costa Rica,CS,"Central America, bordering both the Caribbean Sea and the North Pacific Ocean, as well as Panama to the southeast",,
HRV,Croatia,HR,"Southeastern Europe, bordering the Adriatic Sea, between Bosnia and Herzegovina and Slovenia",,
CUB,Cuba,CU,"Caribbean, island between the Caribbean Sea and the North Atlantic Ocean, south of the US state of Florida",,
CUW,Curaçao,UC,"Caribbean, an island in the Caribbean Sea, off the coast of Venezuela, east of Aruba",NLD,
CYP,Cyprus,CY,"Middle East, island in the Mediterranean Sea, south of Turkey",,
CZE,Czechia,EZ,"Central Europe, between Germany, Poland, Slovakia, and Austria",,
DNK,Denmark,DA,"Northern Europe, bordering the Baltic Sea and the North Sea, on a peninsula north of Germany (Jutland), also including several major islands",,
DJI,Djibouti,DJ,"Eastern Africa, bordering the Gulf of Aden and the Red Sea, between Eritrea and Somalia",,
DMA,Dominica,DO,"Caribbean, island between the Caribbean Sea and the North Atlantic Ocean, about halfway between Puerto Rico and Trinidad and Tobago",,
DOM,Dominican Republic,DR,"Caribbean, eastern two-thirds of the island of Hispaniola, between the Caribbean Sea and the North Atlantic Ocean",,
COD,DR Congo,CG,"Central Africa, northeast of Angola",,
ECU,Ecuador,EC,"Western South America, bordering the Pacific Ocean, between Colombia and Peru",,
EGY,Egypt,EG,"Northern Africa, bordering the Mediterranean Sea, between Libya and the Gaza Strip, and the Red Sea north of Sudan, and includes the Asian Sinai Peninsula",,
SLV,El Salvador,ES,"Central America, bordering the North Pacific Ocean to the south and Honduras to the northeast",,
GNQ,Equatorial Guinea,EK,"Central Africa, bordering the Bight of Biafra, between Cameroon and Gabon",,
ERI,Eritrea,ER,"Eastern Africa, bordering the Red Sea, between Djibouti and Sudan",,
EST,Estonia,EN,"Eastern Europe, bordering the Baltic Sea, and bordering where Russia to the east meets the Gulf of Finland",,
SWZ,Eswatini,WZ,"Southern Africa, between Mozambique and South Africa",,
ETH,Ethiopia,ET,"Eastern Africa, west of Somalia",,
FLK,Falkland Islands,FK,"Southern South America, islands in the South Atlantic Ocean, east of southern Argentina",GBR,
FRO,Faroe Islands,FO,"Northern Europe, island group between the Norwegian Sea and the North Atlantic Ocean, north of the United Kingdom",DNK,
FJI,Fiji,FJ,"Oceania, island group in the South Pacific Ocean, about two-thirds of the way from Hawaii to New Zealand, northwest of Tonga",,
FIN,Finland,FIN,"Northern Europe, bordering the Baltic Sea and Gulf of Bothnia, north of Estonia, west of Russia",,
FRA,France,FR,"Western Europe, bordering the Bay of Biscay and English Channel, between Belgium and Spain, southeast of the UK, and bordering the Mediterranean Sea, between Italy and Spain",,
GUF,French Guiana,GUF,"Northern South America, bordering where Brazil to the south meets the North Atlantic Ocean",FRA,
PYF,French Polynesia,FP,"Oceania, five archipelagoes in the South Pacific Ocean about halfway between South America and Australia",FRA,
ATF,French Southern and Antarctic Lands,FS,"Southeast and east of Africa, islands in the southern Indian Ocean, some near Madagascar and others about equidistant between Africa, Antarctica, and Australia",FRA,
GAB,Gabon,GB,"Central Africa, bordering the Atlantic Ocean at the Equator, between Republic of the Congo and Equatorial Guinea",,
GMB,Gambia,GA,"Western Africa, bordering the North Atlantic Ocean and Senegal",,
GEO,Georgia,GG,"Southwestern Asia, bordering the Black Sea, between Turkey and Russia, with a sliver of land north of the Caucasus extending into Europe",,
DEU,Germany,GM,"Central Europe, bordering the Baltic Sea and the North Sea, between the Netherlands and Poland, south of Denmark",,
GHA,Ghana,GH,"Western Africa, bordering the Gulf of Guinea, between Ivory Coast and Togo",,
GIB,Gibraltar,GI,"Southwestern Europe, bordering the Mediterranean Sea and the North Atlantic Ocean, on the southern coast of Spain",GBR,
GRC,Greece,GR,"Southern Europe, bordering the Aegean Sea, Ionian Sea, and the Mediterranean Sea, between Albania and Turkey",,
GRL,Greenland,GL,"Northern North America, island between the Arctic Ocean and the North Atlantic Ocean, northeast of Canada",DNK,
GRD,Grenada,GJ,"Caribbean, island between the Caribbean Sea and Atlantic Ocean, north of Trinidad and Tobago and south of Saint Vincent and the Grenadines",,
GLP,Guadeloupe,GLP,"Caribbean, islands between the Caribbean Sea and the North Atlantic Ocean, southeast of Puerto Rico, north of Dominica and south of Antigua and Barbuda",FRA,
GUM,Guam,GQ,"Oceania, island in the North Pacific Ocean, about three-quarters of the way from Hawaii to the Philippines",USA,
GTM,Guatemala,GT,"Central America, bordering the North Pacific Ocean to the south and Mexico to the northwest",,
GGY,Guernsey,GK,"Western Europe, islands in the English Channel, northwest of France",GBR,
GIN,Guinea,GV,"Western Africa, bordering the North Atlantic Ocean, southeast of Senegal, north of Sierra Leone",,
GNB,Guinea-Bissau,PU,"Western Africa, bordering the North Atlantic Ocean, south of Senegal",,
GUY,Guyana,GY,"Northern South America, bordering where Venezuela to the west meets the North Atlantic Ocean",,
HTI,Haiti,HA,"Caribbean, western one-third of the island of Hispaniola, between the Caribbean Sea and the North Atlantic Ocean",,
HMD,Heard Island and McDonald Islands,HM,"Islands in the Indian Ocean, about two-thirds of the way from Madagascar to Antarctica",AUS,
HND,Honduras,HO,"Central America, bordering the Caribbean Sea to the north and Nicaragua to the southeast",,
HKG,Hong Kong,HK,"Eastern Asia, bordering the South China Sea and China, east of the Zhujiang River Estuary",CHN,
HUN,Hungary,HU,"Central Europe, northwest of Romania",,
ISL,Iceland,IC,"Northern Europe, island between the Greenland Sea and the North Atlantic Ocean, northwest of the United Kingdom",,
IND,India,IN,"Southern Asia, bordering the Arabian Sea and the Bay of Bengal, between Myanmar and Pakistan",,
IDN,Indonesia,ID,"Southeastern Asia, archipelago between the Indian Ocean and the Pacific Ocean",,
IRN,Iran,IR,"Middle East, bordering the Gulf of Oman, the Persian Gulf, and the Caspian Sea, west of Pakistan",,
IRQ,Iraq,IZ,"Middle East, bordering the Persian Gulf, north of Kuwait and Saudi Arabia",,
IRL,Ireland,EI,"Western Europe, occupying five-sixths of its island in the North Atlantic Ocean, west of the United Kingdom",,
IMN,Isle of Man,IM,"Western Europe, island in the Irish Sea, between Great Britain and Ireland",GBR,
ISR,Israel,ISR,"Middle East, bordering the Mediterranean Sea, between Egypt and Lebanon",,
ITA,Italy,IT,"Southern Europe, a peninsula extending into the central Mediterranean Sea, northeast of Tunisia",,
CIV,Ivory Coast,IV,"Western Africa, bordering the North Atlantic Ocean, between Ghana and Liberia",,
JAM,Jamaica,JM,"Caribbean, island in the Caribbean Sea, south of Cuba",,
JPN,Japan,JA,"Eastern Asia, island chain in the North Pacific Ocean, east of the Korean Peninsula",,
JEY,Jersey,JE,"Western Europe, island in the English Channel, northwest of France",GBR,
JOR,Jordan,JO,"Middle East, northwest of Saudi Arabia, between Israel (to the west) and Iraq",,
KAZ,Kazakhstan,KZ,"Central Asia, northwest of China, south of Russia",,
KEN,Kenya,KE,"Eastern Africa, bordering the Indian Ocean, between Somalia and Tanzania",,
KIR,Kiribati,KR,"Oceania, group of 32 coral atolls and one raised coral island in the Pacific Ocean, straddling the Equator, with the capital about halfway between Hawaii and Australia",,
UNK,Kosovo,KV,"Southeastern Europe, between Serbia and North Macedonia",,
KWT,Kuwait,KU,"Middle East, bordering the Persian Gulf, between Iraq and Saudi Arabia",,
KGZ,Kyrgyzstan,KG,"Central Asia, bordering China to the east and Kazakhstan to the north",,
LAO,Laos,LA,"Southeastern Asia, bordering Vietnam to the east and China to the north",,
LVA,Latvia,LG,"Eastern Europe, bordering the Baltic Sea, Russia to the east, and Belarus to the southeast",,
LBN,Lebanon,LE,"Middle East, bordering the Mediterranean Sea, between Israel and Syria",,
LSO,Lesotho,LT,"Southern Africa, an enclave of South Africa",,
LBR,Liberia,LI,"Western Africa, bordering the North Atlantic Ocean, between Ivory Coast and Sierra Leone",,
LBY,Libya,LY,"Northern Africa, bordering the Mediterranean Sea, between Egypt, Tunisia, and Algeria",,
LIE,Liechtenstein,LS,"Central Europe, between Austria and Switzerland",,
LTU,Lithuania,LH,"Eastern Europe, bordering the Baltic Sea, Belarus to the southeast, and Poland to the southwest",,
LUX,Luxembourg,LU,"Western Europe, between France and Germany, southeast of Belgium",,
MAC,Macau,MC,"Eastern Asia, bordering the South China Sea and China, west of the Zhujiang River Estuary",CHN,
MDG,Madagascar,MA,"Southern Africa, island in the Indian Ocean, east of Mozambique",,
MWI,Malawi,MI,"Southern Africa, east of Zambia, west and north of Mozambique",,
MYS,Malaysia,MY,"Southeastern Asia, peninsula bordering Thailand and northern one-third of the island of Borneo, bordering Indonesia, Brunei, and the South China Sea",,
MDV,Maldives,MV,"Southern Asia, group of atolls in the Indian Ocean, south-southwest of India",,
MLI,Mali,ML,"Interior Western Africa, southwest of Algeria, north of Guinea, Ivory Coast, and Burkina Faso, west of Niger",,
MLT,Malta,MT,"Southern Europe, islands in the Mediterranean Sea, south of Sicily (Italy)",,
MHL,Marshall Islands,RM,"Oceania, consists of 29 atolls and five isolated islands in the North Pacific Ocean, about halfway between Hawaii and Australia",,
MTQ,Martinique,MTQ,"Caribbean, island between the Caribbean Sea and North Atlantic Ocean, north of Trinidad and Tobago, between Dominica and Saint Lucia",FRA,
MRT,Mauritania,MR,"Western Africa, bordering the North Atlantic Ocean, between Senegal and Western Sahara",,
MUS,Mauritius,MP,"Southern Africa, island in the Indian Ocean, east of Madagascar and Réunion",,
MYT,Mayotte,MYT,"Southern Indian Ocean, island in the Mozambique Channel, about halfway between northern Madagascar and northern Mozambique",FRA,
MEX,Mexico,MX,"North America, bordering the North Pacific Ocean, between Guatemala and the United States, and bordering the Caribbean Sea",,
FSM,Micronesia,FM,"Oceania, island group in the North Pacific Ocean, about three-quarters of the way from Hawaii to Indonesia",,
MDA,Moldova,MD,"Eastern Europe, northeast of Romania",,
MCO,Monaco,MN,"Western Europe, bordering the Mediterranean Sea on the southern coast of France, near the border with Italy",,The flag of this country is composed of two equal horizontal bands of dark red and white at a 4:5 aspect ratio.
MNG,Mongolia,MG,"Northern Asia, between China and Russia, east of Kazakhstan",,
MNE,Montenegro,MJ,"Southeastern Europe, between the Adriatic Sea and Serbia",,
MSR,Montserrat,MH,"Caribbean, island in the Caribbean Sea, southeast of Saint Kitts and Nevis, southwest of Antigua and Barbuda",GBR,
MAR,Morocco,MAR,"Northern Africa, bordering the North Atlantic Ocean and the Mediterranean Sea, west of Algeria",,
MOZ,Mozambique,MZ,"Southeastern Africa, bordering the sea, between South Africa and Tanzania",,
MMR,Myanmar,BM,"Southeastern Asia, bordering the Andaman Sea and the Bay of Bengal, Bangladesh to the west, and China to the north",,
NAM,Namibia,WA,"Southern Africa, bordering the South Atlantic Ocean, between Angola and South Africa",,
NRU,Nauru,NR,"Oceania, island in the South Pacific Ocean, south of the Marshall Islands",,
NPL,Nepal,NP,"Southern Asia, between China and India, west of Bhutan",,
NLD,Netherlands,NL,"Western Europe, bordering the North Sea, between Belgium and Germany",,
NCL,New Caledonia,NC,"Oceania, islands in the South Pacific Ocean, east of Australia, south of Vanuatu",FRA,
NZL,New Zealand,NZ,"Oceania, islands in the South Pacific Ocean, southeast of Australia",,
NIC,Nicaragua,NU,"Central America, bordering both the Caribbean Sea and the North Pacific Ocean, as well as Costa Rica to the south",,
NER,Niger,NG,"Western Africa, southeast of Algeria",,
NGA,Nigeria,NI,"Western Africa, bordering the Gulf of Guinea, between Benin and Cameroon",,
NIU,Niue,NE,"Oceania, island in the South Pacific Ocean, east of Tonga",NZL,
NFK,Norfolk Island,NF,"Oceania, island in the South Pacific Ocean, east of Australia, south of New Caledonia",AUS,
PRK,North Korea,KN,"Eastern Asia, northern half of the peninsula bordering China and the Sea of Japan",,
MKD,North Macedonia,MK,"Southeastern Europe, north of Greece, southwest of Bulgaria",,
MNP,Northern Mariana Islands,CQ,"Oceania, islands in the North Pacific Ocean, about three-quarters of the way from Hawaii to the Philippines",USA,
NOR,Norway,NO,"Northern Europe, bordering the North Sea and the North Atlantic Ocean, west and north of Sweden",,
OMN,Oman,MU,"Middle East, bordering the Arabian Sea and Persian Gulf, east of Saudi Arabia and the United Arab Emirates",,
PAK,Pakistan,PK,"Southern Asia, bordering the Arabian Sea, between India to the southeast and Iran to the west",,
PLW,Palau,PS,"Oceania, group of islands in the North Pacific Ocean, southeast of the Philippines, north of the island of New Guinea",,
PSE,Palestine,PSE,"Middle East, bordering the Mediterranean Sea, between Egypt and Israel, and west of Jordan, east of Israel",,
PAN,Panama,PM,"Central America, bordering both the Caribbean Sea and the North Pacific Ocean, as well as Colombia to the southeast",,
PNG,Papua New Guinea,PP,"Oceania, group of islands including the eastern half of the island of New Guinea between the Coral Sea and the South Pacific Ocean, east of Indonesia",,
PRY,Paraguay,PA,"Central South America, northeast of Argentina, southwest of Brazil",,
PER,Peru,PE,"Western South America, bordering the South Pacific Ocean, between Chile and Ecuador",,
PHL,Philippines,RP,"Southeastern Asia, archipelago bordering the South China Sea, east of Vietnam",,
PCN,Pitcairn Islands,PC,"Oceania, islands in the South Pacific Ocean, about midway between Peru and New Zealand",GBR,
POL,Poland,PL,"Central Europe, east of Germany",,
PRT,Portugal,PO,"Southwestern Europe, bordering the North Atlantic Ocean, west of Spain",,
PRI,Puerto Rico,RQ,"Caribbean, island between the Caribbean Sea and the North Atlantic Ocean, east of the Dominican Republic",USA,
QAT,Qatar,QA,"Middle East, peninsula bordering the Persian Gulf and Saudi Arabia",,
COG,Republic of the Congo,CF,"Central Africa, bordering the South Atlantic Ocean, between Angola and Gabon",,
ROU,Romania,RO,"Southeastern Europe, bordering the Black Sea, between Bulgaria and Ukraine",,
RUS,Russia,RS,"North Asia bordering the Arctic Ocean, extending from Eastern Europe to the North Pacific Ocean",,
RWA,Rwanda,RW,"Central Africa, east of the Democratic Republic of the Congo, north of Burundi",,
REU,Réunion,REU,"Southern Africa, island in the Indian Ocean, east of Madagascar, west of Mauritius",FRA,
BLM,Saint Barthélemy,TB,"Caribbean, island between the Caribbean Sea and the North Atlantic Ocean, located in the Leeward Islands (northern) group, east of the United States Virgin Islands, southeast of Sint Maarten",FRA,
SHN,"Saint Helena, Ascension and Tristan da Cunha",SH,"Islands in the South Atlantic Ocean, about midway between South America and Africa",GBR,
KNA,Saint Kitts and Nevis,SC,"Caribbean, islands in the Caribbean Sea, southeast of Anguilla, northwest of Montserrat",,
LCA,Saint Lucia,ST,"Caribbean, island between the Caribbean Sea and North Atlantic Ocean, south of Martinique, northwest of Barbados",,
MAF,Saint Martin,RN,"Caribbean, the northern portion of its island, located in the Leeward Islands (northern) group, east of the United States Virgin Islands, south of Anguilla",FRA,
SPM,Saint Pierre and Miquelon,SB,"Northern North America, islands in the North Atlantic Ocean, south of the Canadian province of Newfoundland",FRA,
VCT,Saint Vincent and the Grenadines,VC,"Caribbean, islands between the Caribbean Sea and North Atlantic Ocean, west of Barbados, northeast of Grenada",,
WSM,Samoa,WS,"Oceania, group of islands in the South Pacific Ocean, about halfway between Hawaii and New Zealand, north of Tonga",,
SMR,San Marino,SM,"Southern Europe, an enclave in central Italy",,
SAU,Saudi Arabia,SA,"Middle East, bordering the Persian Gulf and the Red Sea, north of Yemen",,
SEN,Senegal,SG,"Western Africa, bordering the North Atlantic Ocean, between Guinea-Bissau and Mauritania",,
SRB,Serbia,RI,"Southeastern Europe, between North Macedonia and Hungary",,
SYC,Seychelles,SE,"Archipelago in the Indian Ocean, northeast of Madagascar",,
SLE,Sierra Leone,SL,"Western Africa, bordering the North Atlantic Ocean, between Guinea and Liberia",,
SGP,Singapore,SN,"Southeastern Asia, islands between Malaysia and Indonesia",,
SXM,Sint Maarten,NN,"Caribbean, the southern portion of its island, located in the Leeward Islands (northern) group, east of the United States Virgin Islands, south of Anguilla",NLD,
SVK,Slovakia,LO,"Central Europe, south of Poland, north of Hungary",,
SVN,Slovenia,SI,"South Central Europe, between Austria to the north and Croatia to the south",,
SLB,Solomon Islands,BP,"Oceania, group of islands in the South Pacific Ocean, east of Papua New Guinea",,
SOM,Somalia,SO,"Eastern Africa, bordering the Gulf of Aden and the Indian Ocean, east of Ethiopia",,
ZAF,South Africa,SF,"Southern Africa, at the southern tip of the continent of Africa",,
SGS,South Georgia,SX,"Southern South America, islands in the South Atlantic Ocean, east of the tip of South America and the Falkland Islands",GBR,
KOR,South Korea,KS,"Eastern Asia, southern half of the peninsula bordering the Sea of Japan and the Yellow Sea",,
SSD,South Sudan,OD,"East-Central Africa, east of the Central African Republic, north of Uganda, west of Ethiopia",,
ESP,Spain,SP,"Southwestern Europe, southwest of France, bordering the Mediterranean Sea, North Atlantic Ocean, and Bay of Biscay",,
LKA,Sri Lanka,CE,"Southern Asia, island in the Indian Ocean, south of India",,
SDN,Sudan,SU,"Northeastern Africa, bordering the Red Sea, between Egypt and Eritrea",,
SUR,Suriname,NS,"Northern South America, bordering the North Atlantic Ocean, between French Guiana and Guyana",,
SJM,Svalbard and Jan Mayen,SJM,"Northern Europe, islands between the Greenland Sea and Norwegian Sea, north of Norway, northeast of Iceland",NOR,
SWE,Sweden,SW,"Northern Europe, bordering the Baltic Sea and Gulf of Bothnia, as well as Finland to the east",,
CHE,Switzerland,SZ,"Central Europe, east of France, north of Italy",,The flag of this country is square shaped. It features a white cross centered on a red field.
SYR,Syria,SY,"Middle East, bordering the Mediterranean Sea, between Lebanon and Turkey",,
STP,São Tomé and Príncipe,TP,"Central Africa, islands in the Gulf of Guinea, just north of the Equator, west of Gabon",,
TWN,Taiwan,TW,"Eastern Asia, islands bordering the East China Sea, Philippine Sea, and South China Sea, north of the Philippines, off the southeastern coast of China",,
TJK,Tajikistan,TI,"Central Asia, bordering China to the east and Afghanistan to the south",,
TZA,Tanzania,TZ,"Eastern Africa, bordering the Indian Ocean, between Kenya and Mozambique",,
THA,Thailand,TH,"Southeastern Asia, bordering the Andaman Sea, and Malaysia to the south",,
TLS,Timor-Leste,TT,"Southeastern Asia, northwest of Australia in the Lesser Sunda Islands at the eastern end of the Indonesian archipelago",,
TGO,Togo,TO,"Western Africa, bordering the Bight of Benin, between Benin and Ghana",,
TKL,Tokelau,TL,"Oceania, group of three atolls in the South Pacific Ocean, about one-half of the way from Hawaii to New Zealand",NZL,
TON,Tonga,TN,"Oceania, archipelago in the South Pacific Ocean, about two-thirds of the way from Hawaii to New Zealand, southwest of Fiji",,
TTO,Trinidad and Tobago,TD,"Caribbean, islands between the Caribbean Sea and the North Atlantic Ocean, northeast of Venezuela, south of Grenada",,
TUN,Tunisia,TS,"Northern Africa, bordering the Mediterranean Sea, between Algeria and Libya",,
TUR,Turkey,TU,"Southeastern Europe and Southwestern Asia, bordering the Black Sea, between Bulgaria and Georgia, and bordering the Aegean Sea and the Mediterranean Sea, between Greece and Syria",,
TKM,Turkmenistan,TX,"Central Asia, bordering the Caspian Sea to the west and Iran to the south",,
TCA,Turks and Caicos Islands,TK,"Two island groups in the North Atlantic Ocean, southeast of The Bahamas, north of Haiti",GBR,
TUV,Tuvalu,TV,"Oceania, island group consisting of nine coral atolls in the South Pacific Ocean, about half way from Hawaii to Australia, northwest of Wallis and Futuna",,
UGA,Uganda,UG,"East-Central Africa, west of Kenya, east of the Democratic Republic of the Congo",,
UKR,Ukraine,UP,"Eastern Europe, bordering the Black Sea, between Romania in the southwest and Russia in the east",,
ARE,United Arab Emirates,AE,"Middle East, bordering the Gulf of Oman and the Persian Gulf, between Oman and Saudi Arabia",,
GBR,United Kingdom,UK,"Western Europe, islands between the North Atlantic Ocean and the North Sea, north of France",,
USA,United States,US,"North America, bordering both the North Atlantic Ocean and the North Pacific Ocean, between Canada and Mexico",,
UMI,United States Minor Outlying Islands,UMI,"Oceania, group comprising eight islands in the Pacific Ocean, west and southwest of Hawaii, plus one island in the Caribbean Sea, east of Jamaica",USA,
VIR,United States Virgin Islands,VQ,"Caribbean, islands between the Caribbean Sea and the North Atlantic Ocean, east of Puerto Rico, southwest of Anguilla",USA,
URY,Uruguay,UY,"Southern South America, bordering the South Atlantic Ocean, between Argentina and Brazil",,
UZB,Uzbekistan,UZ,"Central Asia, northeast of Turkmenistan, south of Kazakhstan",,
VUT,Vanuatu,NH,"Oceania, group of islands in the South Pacific Ocean, about three-quarters of the way from Hawaii to Australia, west of Fiji",,
VAT,Vatican City,VT,"Southern Europe, an enclave of the city of Rome, Italy",,
VEN,Venezuela,VE,"Northern South America, bordering the Caribbean Sea and the North Atlantic Ocean, between Colombia and Guyana",,
VNM,Vietnam,VM,"Southeastern Asia, bordering the Gulf of Thailand, Gulf of Tonkin, and South China Sea, as well as China to the north",,
WLF,Wallis and Futuna,WF,"Oceania, islands in the South Pacific Ocean, about two-thirds of the way from Hawaii to New Zealand, west of Samoa, northeast of Fiji",FRA,
ESH,Western Sahara,ESH,"Northern Africa, bordering the North Atlantic Ocean, north of Mauritania",,
YEM,Yemen,YM,"Middle East, bordering the Arabian Sea, Gulf of Aden, and Red Sea, south of Saudi Arabia",,
ZMB,Zambia,ZA,"Southern Africa, east of Angola, south of the Democratic Republic of the Congo",,
ZWE,Zimbabwe,ZI,"Southern Africa, between Botswana and Mozambique",,"The flag of this country is composed of seven equal horizontal bands of green, yellow, red, black, red, yellow and green, with a white isosceles triangle superimposed on the hoist side of the field. This triangle is edged in black, spans about one-fourth the width of the field and has its base on the hoist end. A yellow bird carving superimposed on a five-pointed red star is centered in the triangle."
ALA,Åland Islands,ALA,"Northern Europe, islands bordering the Baltic Sea to the south and Gulf of Bothnia to the north",FIN,
